Name,canon,dept,rank,cohort,POST_2010,delay_yrs,Fast,AI,AI_corr,PHD_from_FEBA,Scopus_all,log_scopus,gender,deg_strength,eigen,katz,in_giant,z_deg_strength,z_eigen,z_katz
д-р Димитър Златинов,Димитър Златинов,Economics,Доц.,2015.0,1,-0.4380561259411362,1,1.0,1.0,YES,17.0,2.8903717578961645,1.0,3.0,0.0032079003102365882,0.10349950666892285,1,1.5874507866387544,-0.46469087933898107,0.5876177402006254
д-р Теодор Седларски,Теодор Седларски,Economics,Проф.,2010.0,1,-4.361396303901437,1,1.0,1.0,YES,4.0,1.6094379124341003,1.0,4.5,0.00951906910533134,0.16332821313887402,1,3.1749015732775088,-0.38626708893544753,1.8433072589189947
д-р Ваня Иванова,Ваня Иванова,Economics,Проф.,1997.0,0,25.377138945927445,0,0.0,0.0,NO,7.0,2.0794415416798357,0.0,0.0,0.0,0.02584757775482408,0,-1.5874507866387544,-0.5045528620767835,-1.042146949675634
 д-р Милен Велушев,Милен Велушев,Economics,Доц.,2016.0,1,-0.47091033538672145,1,1.0,1.0,YES,1.0,0.6931471805599453,1.0,1.5,0.009581899441816089,0.09507025163474159,1,0.0,-0.3854863471585372,0.4107038836000065
д-р Соня Цветанова Георгиева,Соня Цветанова Георгиева,Economics,Доц.,1991.0,0,7.438740588637919,0,0.0,0.0,NO,12.0,2.5649493574615367,0.0,0.0,0.0,0.02584757775482408,0,-1.5874507866387544,-0.5045528620767835,-1.042146949675634
д-р Стела Ралева,Стела Ралева,Economics,Доц.,2005.0,0,16.347707049965777,0,0.0,0.0,NO,5.0,1.791759469228055,0.0,3.5,0.002679209053570737,0.09164225450922299,1,2.1166010488516727,-0.47126049800187736,0.33875681479830466
д-р Цветан Мадански,Цветан Мадански,Economics,Доц.,2018.0,1,1.3305954825462012,0,1.0,0.0,YES,0.0,0.0,1.0,1.5,0.08810660761015804,0.08721673208708815,1,0.0,0.5902766937030929,0.24587360791969892
д-р Даниел Касабов,Даниел Касабов,Economics,Гл. ас.,2019.0,1,2.3381245722108144,0,0.0,0.0,NO,1.0,0.6931471805599453,1.0,1.5,0.0,0.04943674935680285,0,0.0,-0.5045528620767835,-0.5470555916378218
д-р Илия Атанасов,Илия Атанасов,Economics,Гл. ас.,2020.0,1,-2.642026009582478,1,1.0,1.0,YES,8.0,2.1972245773362196,1.0,1.5,0.0028222573871495822,0.08980087342192744,1,0.0,-0.4694829520520873,0.3001097661203501
д-р Росица Златинска,Росица Златинска,Economics,Гл. ас.,2017.0,1,6.381930184804928,0,0.0,0.0,NO,6.0,1.9459101490553132,0.0,1.5,0.0,0.04943674935680285,0,0.0,-0.5045528620767835,-0.5470555916378218
д-р Любен Иванов,Любен Иванов,Economics,Гл. ас.,2017.0,1,-7.392197125256674,1,1.0,1.0,YES,0.0,0.0,1.0,1.5,0.061386897329469656,0.12590919045075744,1,0.0,0.25825246384498696,1.0579539166442156
д-р Стоян Шаламанов,Стоян Шаламанов,Economics,Гл. ас.,2017.0,1,2.088980150581793,0,0.0,0.0,NO,4.0,1.6094379124341003,1.0,1.5,0.0,0.04370978315500325,0,0.0,-0.5045528620767835,-0.6672536012214976
